TK20-2;TK20-3;TK20-4;TK20-5;TK20-6;TK20-7;TK20-8;TK20-9;TK20-10;TK20-11;TK20-12;TK20-13;TK20-14;TK20-15;TK20-16;TK20-17;TK20-18;TK20-19;TK20-20;TK20-21;TK20-22;TK20-23;TK20-24;TK20-25;TK20-26;TK20-27;TK20-28;TK20-29;TK20-30
2338;1682;1503;328;153;243;162;104;35;1945;4932;1380;11334;477;976;148;40;62;4;908;3430;1210;2192;1502;339;255;4;65;75
526;168;150;11;5;35;12;7;1;583;1093;117;757;15;35;16;1;6;1;189;631;138;276;63;14;16;0;5;20
5167;3542;4595;1426;360;1025;220;158;56;4418;9970;2362;27424;1018;3179;517;49;123;18;2322;7145;2690;6493;3671;1401;1181;29;102;318
356;229;218;2;5;9;0;15;5;673;2516;156;929;3;9;8;7;15;8;829;358;299;722;51;41;15;0;12;28
375;244;289;189;144;465;157;430;35;51;922;170;1821;76;589;173;20;269;0;18;578;197;350;177;93;139;1;173;62
1378;1638;4457;2907;568;577;123;244;37;2820;2842;1239;25520;781;9325;409;182;145;6;2401;1899;1411;8235;2041;2077;2031;24;113;125
583;520;920;1180;168;446;453;572;119;119;1005;646;5611;1411;3191;327;110;245;3;48;932;422;930;2943;1435;919;15;142;154
270;72;73;111;1468;6770;2044;641;16;236;424;16;522;52;3128;3307;1763;981;3;110;315;39;122;191;124;583;19;231;58
779;341;391;115;1157;423;200;92;14;446;1958;237;2511;104;1279;196;147;54;2;234;757;275;490;179;92;100;5;50;41
159;185;451;1701;166;3007;752;655;101;322;235;109;2887;288;4768;1720;1648;778;1;247;118;55;397;1018;1195;1531;37;1603;241
422;511;1326;6475;782;3574;1475;4459;2911;715;725;345;7333;920;11778;2345;1824;2142;9;634;465;206;1185;2280;3677;3326;54;1569;1648
583;721;1135;2993;1258;17518;5309;8200;2378;741;1399;468;5853;890;17054;10793;17343;6065;72;724;729;478;1391;2752;3225;8134;241;7058;2043
1008;1509;1149;4246;110;818;57;68;0;599;2289;1261;8500;7783;2067;353;134;181;6;1053;1984;936;1992;10039;4218;1421;10;38;98
116;97;291;386;119;2103;206;423;57;90;245;63;971;149;3737;1023;1091;384;3;109;69;72;269;960;345;895;18;680;130
24;81;191;94;15;308;9;43;8;2242;27;16;1334;22;440;59;24;38;11;3518;23;40;101;95;174;92;2;3616;59
74;145;555;6470;1228;12351;850;1505;336;219;128;221;1492;1706;18368;7677;2519;2988;9;429;86;150;414;2070;3174;9220;52;10107;457
451;244;739;471;373;3705;1515;924;103;867;987;146;6123;219;3333;1646;1180;1362;6;534;537;187;889;640;473;1740;28;1586;94
243;187;469;1851;276;3994;726;762;769;508;655;155;2997;644;9624;1589;749;546;8;451;260;113;337;966;1303;3753;26;650;352
103;82;299;2495;265;1560;217;485;277;1277;371;67;1108;263;2715;883;329;282;6;938;156;66;199;600;1285;1134;10;425;279
172;11;23;27;26;166;135;109;16;4549;36;7;295;9;330;110;105;140;19;3739;27;13;101;389;137;100;3;111;32
1599;871;418;293;134;772;411;239;117;1925;2945;656;3109;299;1793;434;294;146;10;1568;2316;537;401;665;414;613;7;177;137
96;58;156;11;10;28;55;747;1951;67;138;26;766;15;65;9;8;179;1;119;125;50;107;19;20;14;3;286;1126
693;349;271;365;152;444;149;39;5;355;1364;258;1734;113;1023;277;118;24;0;148;704;224;1016;629;339;243;12;16;39
772;353;547;3039;444;6383;1056;3117;3215;481;1633;306;2353;854;24630;3167;2585;2388;7;243;1147;214;598;950;1877;6311;69;7752;2071
1221;400;70;19;30;71;18;16;1;308;3522;190;363;4;211;17;2;4;3;97;1746;271;84;36;23;45;0;8;5
135;33;641;325;132;2220;727;1097;53;65;209;24;597;425;10739;4535;712;896;11;88;117;35;45;1047;1952;49353;269;907;210
151;22;13;26;21;144;12;18;2;43;376;19;66;8;101;56;21;7;0;16;168;7;14;41;62;30;5;6;3
